Date and Hour,File Worked On,Time Spent on File (seconds),App Used
2024-11-20 18:00,Документ1,0.109677,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109421,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108312,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.123832,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.124343,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109308,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.115682,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.113271,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.115766,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10911,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10946,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108167,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.104793,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109664,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.111083,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107577,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.120369,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107843,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108107,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109418,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110713,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107426,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106853,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108619,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.111237,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10689,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.111813,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.104191,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107453,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109088,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109781,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108067,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107045,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108445,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110082,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.105696,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107547,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108103,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110769,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107854,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107976,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.168494,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.125586,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109893,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108752,WINWORD.EXE,Документ1
